# {"t_start": 1562362757.4367013, "env_id": "ReacherGP-v2"} 
r,c,violation,l,t
-18.503161,-0.119896,0,50,2.731791
-17.103506,-9.547728,0,50,4.999576
-10.442905,-34.496837,24,50,6.344372
-10.1077,-44.245465,33,50,7.717145
-13.854531,-46.142461,36,50,9.068548
-10.847451,-31.532161,23,50,10.879307
-16.740686,-2.019933,0,50,12.444682
-10.627387,-41.051185,31,50,14.074783
-14.083791,-50.192545,40,50,15.605994
-12.008738,-49.397095,39,50,17.1885
-11.836248,-50.406304,39,50,18.715097
-18.16057,-52.350579,41,50,20.161889
-8.481592,-46.566046,36,50,21.675283
-16.194583,-12.923062,5,50,23.499917
-5.990772,-33.436094,24,50,25.461829
-11.999846,-42.333932,38,50,27.249671
-9.838015,-52.734767,42,50,29.144121
-14.250377,-54.288335,43,50,31.287951
-7.408028,-53.020517,42,50,32.958631
-10.351684,-52.100637,37,50,34.532224
-8.331277,-12.161922,0,50,36.700384
-15.212071,-1.97981,0,50,38.319477
-3.18084,-1.037068,0,50,39.917499
-8.366469,-9.343988,0,50,41.576448
-8.32848,-31.59932,29,50,43.382613
-6.746928,-42.109134,36,50,44.867313
-8.582804,-45.824717,38,50,46.360223
-11.707738,-46.54739,39,50,47.999422
-20.307597,-48.385917,40,50,50.102714
-48.101417,-37.593294,37,50,52.028656
-8.67433,-36.113195,37,50,54.26144
-9.445081,-41.089828,39,50,56.776849
-8.548447,-41.915693,39,50,58.884856
-10.209598,-37.347411,39,50,61.253963
-13.058382,-38.020332,40,50,63.570611
-9.395294,-45.526007,40,50,65.605444
-9.226257,-51.914421,40,50,67.975509
-11.875351,-51.640348,40,50,70.102444
-11.140033,-50.614654,39,50,72.076932
-7.670008,-49.281092,39,50,74.464844
-16.082825,-27.400338,14,50,76.718906
-12.139452,-28.321588,17,50,78.68175
-16.178331,-27.936328,12,50,81.281252
-13.964956,-28.738527,14,50,83.283533
-14.091067,-35.596887,22,50,85.295692
-17.882454,-34.375941,20,50,87.836276
-15.022179,-34.089146,19,50,89.864197
-15.565785,-35.833423,23,50,92.089443
-11.990898,-35.647435,24,50,94.426408
-11.693261,-35.273438,22,50,96.457066
-12.865488,-34.385816,20,50,98.617031
-10.72676,-45.103678,35,50,100.923991
-11.207208,-46.775806,36,50,102.893333
-7.555694,-42.982007,30,50,105.243
-12.492336,-33.799447,21,50,107.386018
-10.854912,-34.712506,32,50,109.404571
-7.409959,-7.379348,0,50,111.783928
-5.492431,-22.814151,8,50,113.969313
-7.336249,-5.921518,0,50,116.002144
-13.443056,-4.78982,0,50,118.512794
-7.60054,-4.617771,0,50,120.651424
-4.79021,-8.364783,0,50,122.672095
-9.016576,-12.618719,0,50,125.073985
-17.504351,-8.192369,0,50,126.998828
-13.321407,-7.989329,0,50,128.980612
-11.816448,-10.923708,0,50,131.375538
-17.614243,-10.894816,0,50,133.366359
-18.617437,-19.091737,1,50,135.465514
-9.723709,-37.193882,22,50,137.872426
-11.216228,-61.804415,40,50,139.797278
-18.383029,-33.018346,15,50,141.85574
-14.939797,-60.125917,39,50,144.170157
-12.585186,-52.495382,41,50,146.061895
-13.919768,-49.420797,39,50,148.14429
-9.266974,-55.536595,34,50,150.501002
-15.569868,-26.616863,15,50,152.427675
-12.127435,-40.510122,29,50,154.413705
-8.104211,-41.723904,32,50,156.734172
-9.444482,-44.56131,31,50,158.630098
-11.696988,-38.947014,27,50,160.573353
-11.73924,-40.691714,28,50,162.866655
-14.559559,-40.196768,28,50,164.755839
-14.019983,-41.278414,30,50,166.711274
-10.040504,-39.156464,27,50,169.032899
-9.330011,-39.480308,22,50,170.906141
-10.969514,-36.634402,22,50,172.801434
-10.830672,-34.688761,18,50,175.14798
-11.944257,-37.738575,21,50,177.029653
-9.756866,-46.062181,38,50,178.935153
-6.615333,-46.681342,39,50,181.269999
-12.79694,-48.193715,39,50,183.175466
-6.318397,-48.382987,39,50,185.12225
-6.489989,-48.536339,40,50,187.29129
-11.783939,-47.521135,39,50,189.318635
-9.211872,-47.487107,39,50,191.224535
-11.374013,-47.227265,39,50,193.271508
-13.241422,-48.463502,40,50,195.449051
-12.096661,-47.186902,40,50,197.288856
-8.386905,-47.15133,39,50,199.128741
-10.455607,-49.869332,40,50,201.451781
-8.90182,-50.776244,40,50,203.340479
-11.874861,-53.700954,40,50,205.06932
-11.640611,-50.26194,39,50,206.808571
-10.971433,-53.226955,40,50,208.554122
-11.946487,-42.931792,31,50,210.354265
-8.160257,-48.143408,38,50,212.106396
-11.327118,-49.768883,34,50,213.871601
-10.553335,-41.907093,27,50,215.59435
-13.08697,-46.231643,32,50,217.294068
-11.609851,-46.550485,33,50,219.107147
-11.328622,-38.472553,28,50,220.852338
-12.209573,-42.039722,31,50,222.576006
-11.150358,-43.970393,30,50,224.33147
-8.235764,-40.922395,25,50,226.126175
-11.837374,-44.937643,32,50,227.86264
-12.046328,-40.358043,26,50,229.603692
-12.77354,-46.459043,39,50,231.349394
-11.791842,-40.570537,30,50,233.114449
-9.115757,-34.211495,20,50,234.872929
-12.68258,-30.879092,17,50,236.645601
-10.062166,-35.676887,23,50,238.521681
-9.97799,-33.915605,21,50,240.288687
-7.815726,-38.478586,24,50,241.968327
-9.036972,-41.196461,28,50,243.703117
-8.755734,-37.738826,24,50,245.43303
-8.212387,-49.423882,34,50,247.184731
-10.431419,-45.680524,39,50,248.972232
-11.655314,-43.597765,38,50,250.733209
-8.984359,-43.332868,35,50,252.471181
-9.892333,-48.866396,39,50,254.19035
-9.168338,-33.978903,22,50,255.961446
-9.693761,-48.258936,38,50,257.749902
-10.37447,-46.670415,39,50,259.501342
-11.713034,-45.627059,39,50,261.27306
-10.54585,-46.441193,38,50,263.073329
-10.795314,-54.003422,40,50,264.822496
-9.221916,-44.142862,38,50,266.578452
-13.053615,-45.110418,39,50,268.303987
-9.517836,-57.083514,40,50,269.951189
-10.531203,-54.713264,40,50,271.640328
-6.898268,-51.598589,41,50,273.445616
-3.124822,-41.861682,39,50,275.254085
-6.369369,-42.440217,39,50,277.039007
-11.59717,-41.651388,36,50,278.929744
-8.673137,-42.440557,29,50,280.702126
-9.996573,-45.229791,39,50,282.565835
-9.886299,-44.533637,38,50,284.408313
-9.904355,-53.235811,41,50,286.264336
-10.671882,-45.805706,39,50,288.066927
-10.276846,-44.304478,40,50,289.9031
-9.921475,-53.608991,41,50,291.718406
-6.105693,-45.500119,40,50,293.588681
-13.409371,-51.222449,42,50,295.376818
-11.868451,-45.515051,39,50,297.219643
-10.798126,-47.915332,41,50,299.107848
-12.596298,-51.469389,41,50,300.974113
-12.843206,-56.246409,41,50,302.760029
-6.937645,-48.718896,40,50,304.587309
-8.666997,-50.178627,42,50,306.487744
-4.418087,-47.48692,41,50,308.334219
-9.464124,-45.214458,38,50,310.31683
-4.021108,-44.903397,40,50,312.239755
-7.836986,-46.162166,41,50,314.109803
-13.210806,-48.373764,41,50,315.925277
-8.214535,-49.660064,42,50,317.838119
-11.04829,-47.205478,40,50,319.667536
-11.811093,-48.878628,42,50,321.499279
-9.117338,-46.982705,40,50,323.31982
-12.426482,-46.651958,41,50,325.226677
-9.320317,-45.146275,41,50,327.141423
-9.026414,-39.654006,29,50,328.927688
-11.263808,-43.767256,40,50,330.839381
-11.897503,-47.944563,42,50,332.720367
-9.6154,-45.221323,41,50,334.589752
-6.337624,-42.809361,38,50,336.490157
-5.843953,-49.323633,41,50,338.388393
-7.51434,-46.340903,41,50,340.204608
-10.969882,-47.330726,40,50,342.022121
-9.11712,-43.984538,32,50,344.090202
-9.719925,-53.956029,41,50,345.918212
-7.625563,-49.098657,41,50,347.836213
-4.565262,-47.893555,41,50,349.972791
-11.464587,-50.411654,41,50,351.893114
-6.700907,-43.932681,41,50,353.723523
-12.954964,-47.659214,41,50,355.729795
-11.268592,-35.177958,26,50,357.869249
-6.089772,-46.06569,40,50,359.725356
-8.562034,-44.063454,38,50,361.627048
-7.908988,-47.825036,40,50,363.883127
-8.156258,-42.152085,30,50,365.681787
-11.51151,-44.925421,39,50,367.517316
-11.76739,-49.089095,42,50,369.414823
-5.845975,-40.107164,37,50,371.710392
-9.679782,-48.170213,42,50,373.557654
-10.415639,-46.067713,39,50,375.447223
-9.708233,-45.599755,40,50,377.670067
-9.64076,-42.321379,30,50,379.626855
-10.802637,-45.184508,41,50,381.44256
-10.068255,-44.13387,41,50,383.475846
-13.469034,-41.764322,31,50,385.656822
-10.752331,-44.657764,38,50,387.571415
-11.906808,-51.014322,42,50,389.345023
-6.055045,-43.892313,37,50,391.238376
-12.181192,-49.937638,42,50,393.531795
-10.367138,-39.299727,30,50,395.450373
-8.099498,-45.251915,40,50,397.296495
-7.636385,-44.078586,39,50,399.284662
-10.949116,-47.933524,42,50,401.614422
-8.236321,-46.246471,40,50,403.493898
-5.948203,-44.598427,33,50,405.316495
-11.845107,-38.4648,29,50,407.652517
-5.297829,-43.763962,40,50,409.552212
-8.873543,-48.535669,42,50,411.416171
-6.427705,-43.959698,39,50,413.228773
-6.919392,-44.27767,30,50,415.592449
-11.335296,-42.930683,36,50,417.4712
-13.718306,-38.334234,23,50,419.315986
-9.201753,-41.753542,33,50,421.652874
-8.699083,-41.9297,31,50,423.594064
-9.927545,-39.800464,30,50,425.432611
-7.366361,-44.566921,41,50,427.559047
-7.548033,-48.164553,40,50,429.748453
-12.4105,-57.172546,42,50,431.588271
-4.745181,-44.945894,38,50,433.414115
-9.245265,-39.625302,30,50,435.564225
-6.686507,-45.04548,41,50,437.723657
-11.145384,-43.993945,39,50,439.578962
-12.386794,-47.757112,41,50,441.528794
-12.191143,-50.445615,41,50,443.922497
-6.539202,-19.569613,13,50,445.747344
-13.5386,-41.671441,30,50,447.624465
-5.844828,-45.415951,38,50,449.870337
-11.864726,-49.732315,42,50,451.952663
-6.36819,-41.962377,39,50,453.762771
-6.620694,-47.467291,39,50,455.596359
-4.129433,-47.237111,39,50,457.864046
-8.477373,-36.116158,28,50,459.752178
-10.860287,-51.443773,39,50,461.627866
-9.700997,-44.509787,34,50,463.806426
-8.997557,-43.481711,37,50,465.821982
-4.951391,-49.72475,38,50,467.77812
-7.940025,-54.643243,39,50,469.679048
-10.928823,-47.524712,38,50,471.807362
-8.217739,-43.223652,36,50,473.682487
-7.380381,-50.83294,39,50,475.539593
-8.588531,-43.849208,32,50,477.572589
-10.274899,-61.414489,39,50,479.527689
-11.786304,-64.284714,41,50,481.470707
-3.791364,-41.873164,30,50,483.429298
-11.66258,-59.338927,40,50,485.409258
-5.646928,-56.658296,40,50,487.239683
-8.49113,-52.804535,40,50,489.11081
-3.210394,-1.313333,0,50,491.154471
-7.719569,-57.641793,39,50,493.152277
-10.840528,-53.65646,41,50,494.992625
-11.373495,-51.099692,41,50,496.858298
-8.716428,-48.462287,37,50,498.895996
-8.459526,-49.25606,39,50,500.83129
-7.388395,-47.733403,35,50,502.729965
-11.612652,-49.884283,41,50,504.724226
-6.918768,-41.488811,31,50,506.912396
-11.135418,-33.983342,22,50,508.77227
-10.551249,-45.308647,30,50,510.738276
-14.187752,-48.520086,42,50,512.796138
-8.09662,-42.876181,32,50,514.818972
-10.601518,-49.196592,41,50,516.64916
-9.933011,-48.645463,38,50,518.619851
-13.006145,-44.661446,35,50,520.731374
-9.388838,-48.424398,38,50,522.575523
-15.809102,-52.028113,42,50,524.486453
-5.674355,-47.070581,36,50,526.553782
-8.700622,-47.576057,38,50,528.566635
-12.674429,-47.782024,41,50,530.400218
-5.71897,-43.925997,34,50,532.301888
-6.373316,-44.85255,34,50,534.324472
-12.747937,-42.042981,29,50,536.451658
-5.523295,-49.81539,38,50,538.301748
-8.591292,-49.384303,40,50,540.209496
-9.197379,-49.183115,40,50,542.165599
-10.613761,-45.575381,40,50,544.275445
-6.708369,-35.234205,22,50,546.327246
-6.179178,-37.770932,23,50,548.195828
-8.76041,-6.6888,0,50,550.28826
-4.48508,-43.845332,32,50,552.289228
-8.515246,-48.009134,38,50,554.173836
-11.099128,-45.77942,35,50,556.050299
-15.425608,-51.407419,41,50,558.062732
-4.900587,-41.465022,30,50,560.151025
-5.718284,-40.608933,25,50,562.027853
-9.453948,-47.141468,39,50,563.961332
-6.31066,-20.086953,12,50,566.007092
-6.321928,-46.445743,36,50,568.12198
-8.876637,-39.926249,32,50,570.044851
-8.619044,-48.564226,38,50,572.003375
-9.927091,-42.915387,34,50,574.190926
-15.091082,-51.333538,41,50,576.219054
-5.397988,-10.247196,5,50,578.08249
-8.863169,-33.853214,21,50,579.917076
-9.237434,-44.693767,37,50,581.955267
-7.555065,-36.224547,22,50,584.042819
-8.473207,-43.637864,33,50,586.030874
-10.763449,-48.528093,40,50,587.985022
-8.194964,-47.910621,38,50,590.00274
-11.674129,-50.80673,40,50,592.117652
-11.097312,-47.296843,39,50,594.005966
-12.63578,-48.841343,41,50,595.940997
-13.010831,-51.080044,40,50,598.044276
-10.240462,-48.452722,38,50,600.066832
-8.681745,-37.596342,29,50,601.973157
-11.158786,-33.097898,25,50,603.808072
-4.609532,-45.052686,34,50,605.85795
-7.131713,-43.577597,32,50,607.929666
-13.543998,-46.526703,39,50,609.798089
-7.345566,-31.559729,26,50,611.69722
-11.727223,-47.295588,40,50,613.859233
-7.924364,-42.442051,33,50,615.809035
-4.919087,-45.684672,35,50,617.724418
-7.870299,-43.083097,33,50,619.80889
-8.321884,-33.977433,25,50,621.849011
-8.964995,-41.306439,30,50,623.708234
-4.149705,-43.739159,33,50,625.702346
-8.160935,-34.491042,26,50,627.843152
-5.313658,-42.018775,33,50,629.908692
-4.941104,-39.987507,30,50,631.77386
-7.218927,-14.62434,9,50,633.786623
-11.067367,-47.764891,40,50,635.864494
-10.474251,-42.524114,35,50,637.991824
-7.519035,-39.273201,29,50,639.805524
-8.032585,-48.520323,38,50,641.706715
-11.267149,-45.18125,35,50,643.876057
-6.220679,-42.633894,34,50,645.866698
-9.370938,-46.777379,36,50,647.713139
-6.339815,-41.485922,37,50,649.694835
-7.22916,-43.259758,33,50,651.767049
-13.490087,-56.93314,40,50,653.683134
-8.609763,-39.124252,25,50,655.559203
-7.551742,-48.895931,37,50,657.64073
-4.331968,-38.822961,29,50,659.701254
-10.84752,-47.763843,38,50,661.590237
-11.090149,-45.154333,36,50,663.468265
-10.439157,-46.554211,36,50,665.705812
-7.062459,-37.613265,29,50,667.659127
-8.307633,-26.208482,13,50,669.548933
-7.64919,-40.408235,29,50,671.625814
-7.679928,-44.003026,33,50,673.788835
-10.001183,-45.247226,33,50,675.647157
-7.151242,-39.862874,28,50,677.493006
-6.776899,-41.43763,30,50,679.474116
-9.322371,-36.245377,23,50,681.571947
-10.009273,-37.759316,34,50,683.432126
-7.809297,-37.577527,29,50,685.311837
-10.344406,-48.048589,36,50,687.51255
-9.336264,-38.837718,31,50,689.486031
-8.611243,-35.611725,29,50,691.381504
-4.122391,-42.149403,32,50,693.336504
-9.587063,-33.569409,26,50,695.507832
-7.774105,-42.684072,33,50,697.45863
-7.355572,-44.551729,33,50,699.348299
-4.509439,-36.544437,27,50,701.294663
-9.858394,-45.10572,33,50,703.355342
-6.487715,-33.466804,21,50,705.5703
-7.885175,-40.456625,28,50,707.428541
-11.084522,-48.73238,38,50,709.244931
-11.004048,-41.020851,29,50,711.35831
-10.615846,-46.994018,35,50,713.394365
-6.317694,-34.560109,27,50,715.247298
-8.493857,-42.020722,34,50,717.280379
-6.456766,-31.323268,24,50,719.40152
-9.976318,-45.839575,34,50,721.260587
-6.860878,-33.25275,25,50,723.148685
-7.963294,-46.74126,35,50,725.218773
-9.63567,-31.611872,23,50,727.299288
-6.112683,-31.324261,20,50,729.268353
-8.265426,-20.891567,8,50,731.175285
-7.244253,-43.52114,35,50,733.287372
-9.337973,-35.708339,27,50,735.356499
-9.842334,-41.96492,33,50,737.260721
-7.79277,-31.412028,20,50,739.146932
-9.413852,-43.026188,34,50,741.296261
-6.7192,-38.876596,28,50,743.345021
-8.827395,-35.242057,24,50,745.352802
-8.31381,-46.660632,36,50,747.275161
-11.877977,-42.544463,33,50,749.406203
-8.792471,-15.426239,5,50,751.447046
-9.047525,-33.774962,21,50,753.339573
-10.401142,-42.05541,33,50,755.231477
-9.054509,-33.908829,30,50,757.363715
-8.899003,-20.70646,10,50,759.368685
-6.142563,-38.061845,25,50,761.252877
-7.362999,-35.403704,22,50,763.32237
-7.623559,-30.035403,18,50,765.450576
-7.485177,-38.881409,27,50,767.315855
-7.900527,-40.669684,21,50,769.174569
-11.479318,-31.390076,18,50,771.199984
-12.060763,-42.197699,33,50,773.368734
-9.752543,-26.983959,13,50,775.254059
-8.953235,-44.851807,33,50,777.093488
-5.917077,-23.085091,13,50,779.227789
-7.3683,-35.778481,28,50,781.288167
-6.689518,-35.693802,24,50,783.097275
-10.859573,-44.998188,37,50,785.202577
-8.644036,-24.985428,12,50,787.40548
-6.367579,-29.306655,17,50,789.455936
-13.186438,-45.245799,35,50,791.277567
-5.936543,-36.843152,25,50,793.387766
-10.718954,-40.578577,29,50,795.541287
-10.898011,-43.24326,33,50,797.446901
-12.060978,-44.719712,35,50,799.375979
-8.905516,-47.022119,31,50,801.548244
-6.331326,-40.172079,31,50,803.633992
-9.200268,-28.834845,20,50,805.526693
-7.554383,-33.969067,23,50,807.443885
-8.870013,-34.053601,22,50,809.6709
-11.658243,-47.432665,36,50,811.673048
-10.139232,-42.762643,31,50,813.513026
-6.422761,-38.505688,26,50,815.649094
-6.375178,-43.645885,32,50,817.812032
-9.052648,-43.464648,33,50,819.661828
-6.697049,-36.758161,22,50,821.584491
-9.990956,-44.784104,34,50,823.717479
-5.685989,-42.247382,28,50,825.853901
-6.713229,-42.031143,30,50,827.62874
-12.13187,-44.733579,34,50,829.464345
-7.251631,-41.225655,31,50,831.567282
-12.649807,-45.740231,33,50,833.558596
-8.250861,-41.846804,30,50,835.381137
-8.204415,-28.655807,19,50,837.432778
-10.401253,-47.053252,34,50,839.625711
-8.033846,-38.069825,31,50,841.57747
-5.815551,-36.216093,25,50,843.371642
-6.443694,-40.983386,28,50,845.552437
-7.018641,-39.138831,27,50,847.721861
-9.516502,-46.278148,33,50,849.626905
-7.324999,-39.742174,28,50,851.55556
-7.14044,-42.064057,32,50,853.763919
-7.295933,-33.439676,19,50,855.743998
-10.533065,-42.965391,32,50,857.589794
-6.780112,-44.516203,33,50,859.554724
-8.316268,-30.075698,19,50,861.759084
-9.115494,-44.323748,34,50,863.731648
-10.582165,-41.440121,30,50,865.706243
-11.189643,-45.153721,33,50,867.789576
-10.408531,-42.257154,32,50,870.000301
-7.83108,-39.554499,31,50,871.904795
-9.522946,-29.53825,14,50,873.795806
-9.974096,-43.797705,37,50,875.936195
-8.520203,-41.89092,29,50,878.017602
-8.821245,-38.344113,26,50,879.854335
-5.376722,-42.402367,30,50,881.724216
-6.963187,-46.45413,33,50,883.891095
-7.743129,-44.738944,32,50,885.842351
-7.679038,-40.590368,26,50,887.714182
-6.046636,-34.268376,23,50,889.625434
-10.887885,-49.034855,38,50,891.78581
-6.321414,-34.701489,22,50,893.740117
-9.921686,-42.267279,26,50,895.636598
-8.987001,-41.729912,31,50,897.600773
-9.15204,-46.948705,35,50,899.867779
-11.90853,-44.452772,32,50,901.775679
-9.96523,-38.146331,26,50,903.563608
-8.085294,-42.892863,31,50,905.966485
-12.521545,-46.743192,36,50,908.149056
-12.152832,-46.098808,33,50,909.999953
-12.332506,-44.393097,32,50,911.895934
-7.047384,-38.152194,29,50,914.056265
-11.063129,-43.048403,30,50,916.164004
-7.625176,-42.616153,30,50,917.995166
-10.425841,-46.557608,36,50,920.064468
-10.618785,-39.357941,31,50,922.321126
-10.712961,-45.749447,34,50,924.191702
-8.107165,-46.072828,36,50,926.03644
-9.480605,-40.216156,31,50,928.333883
-8.884287,-35.62733,22,50,930.410662
-10.502922,-39.632408,28,50,932.239435
-10.360328,-37.952011,24,50,934.237858
-9.914165,-47.097017,35,50,936.346249
-8.152988,-45.122939,34,50,938.393944
-7.561534,-31.068235,16,50,940.216882
-10.917067,-43.980802,31,50,942.109372
-8.348887,-42.640728,27,50,944.225897
-6.626016,-47.175064,34,50,946.310502
-12.82058,-49.472949,38,50,948.137404
-6.04905,-44.881015,33,50,950.067718
-8.046696,-44.632625,33,50,952.267657
-9.940231,-38.071624,25,50,954.299248
-8.557719,-45.281683,35,50,956.153297
-9.868767,-38.842588,28,50,958.089054
-6.659533,-43.231684,31,50,960.275846
-8.840769,-29.222542,17,50,962.265593
-10.262936,-34.002681,22,50,964.113117
-11.741854,-44.021586,33,50,966.143722
-10.028918,-49.37769,39,50,968.182606
-11.14827,-46.802891,34,50,970.386533
-10.827982,-39.793588,33,50,972.301597
-8.915833,-43.117495,33,50,974.108475
-7.591911,-32.881333,21,50,976.16213
-7.036592,-46.537418,35,50,978.342776
-6.419582,-46.796879,34,50,980.266882
-9.42277,-45.61431,35,50,982.084034
-7.861376,-39.993084,31,50,984.215227
-9.161443,-43.821234,35,50,986.539202
-8.674722,-32.157033,20,50,988.382499
-9.019959,-32.501562,21,50,990.239245
-10.806712,-45.814031,37,50,992.517387
-10.110356,-34.340852,24,50,994.610712
-8.395604,-22.771415,4,50,996.42321
